repo,module,category,parent_module,energy,view
requests,logging,stdlib,requests.compat,231073.15570169492,nested
requests,functools,stdlib,requests.compat,214384.15836673984,nested
requests,typing,stdlib,requests.compat,238339.62325838936,nested
requests,importlib,stdlib,requests.compat,234398.15026926456,nested
requests,_weakrefset,stdlib,requests.compat,290146.41314075224,nested
requests,requests.compat,internal,,14388.186492957217,flat
requests,requests.packages,internal,,1975258.988932738,nested
requests,re,stdlib,requests.packages,198317.8327303796,nested
requests,idna,external,requests.packages,276347.5084420155,nested
requests,_pytest,external,requests.packages,221902.2549549265,nested
requests,pathlib,stdlib,requests.packages,246218.95773988476,nested
requests,typing,stdlib,requests.packages,184816.4539574275,nested
requests,fnmatch,stdlib,requests.packages,217486.50981684547,nested
requests,pluggy,external,requests.packages,212836.97819878074,nested
requests,enum,stdlib,requests.packages,214489.20408270665,nested
requests,requests.packages,internal,,202843.28900977163,flat
requests,requests.utils,internal,,3733366.7699496443,nested
requests,pluggy,external,requests.utils,228994.22571336193,nested
requests,pathlib,stdlib,requests.utils,243027.78837007022,nested
requests,typing,stdlib,requests.utils,217038.8306085582,nested
requests,importlib,stdlib,requests.utils,234106.11023539703,nested
requests,re,stdlib,requests.utils,226924.68938106968,nested
requests,urllib,stdlib,requests.utils,253203.03886271906,nested
requests,_pytest,external,requests.utils,221900.67304863466,nested
requests,contextlib,stdlib,requests.utils,232651.47521404948,nested
requests,certifi,external,requests.utils,208281.42585433624,nested
requests,functools,stdlib,requests.utils,228429.87397997698,nested
requests,fnmatch,stdlib,requests.utils,218139.72353808803,nested
requests,weakref,stdlib,requests.utils,211802.94823926612,nested
requests,urllib3,external,requests.utils,304760.445821478,nested
requests,netrc,stdlib,requests.utils,246161.5226221981,nested
requests,enum,stdlib,requests.utils,241752.87163154315,nested
requests,unittest,stdlib,requests.utils,180308.67808475124,nested
requests,requests.utils,internal,,35882.44874414617,flat
requests,requests.certs,internal,,1060457.857441613,nested
requests,pathlib,stdlib,requests.certs,204694.20887010347,nested
requests,certifi,external,requests.certs,235433.85030720077,nested
requests,_pytest,external,requests.certs,203737.5364668488,nested
requests,fnmatch,stdlib,requests.certs,214707.6734179551,nested
requests,pluggy,external,requests.certs,192310.5224911718,nested
requests,requests.certs,internal,,9574.065888333103,flat
requests,requests.status_codes,internal,,226830.50990005274,nested
requests,requests.status_codes,internal,,226830.50990005274,flat
requests,requests.help,internal,,200700.9214539776,nested
requests,re,stdlib,requests.help,200700.9214539776,nested
requests,requests.help,internal,,0.0,flat
requests,requests,internal,,1763493.4863981104,nested
requests,warnings,stdlib,requests,183097.9190866777,nested
requests,_pytest,external,requests,214250.56375737942,nested
requests,pathlib,stdlib,requests,235110.43481296216,nested
requests,fnmatch,stdlib,requests,246369.86867416417,nested
requests,typing,stdlib,requests,207991.13896669148,nested
requests,_py_warnings,stdlib,requests,215455.90993791056,nested
requests,logging,stdlib,requests,206584.66692737056,nested
requests,pluggy,external,requests,204681.74120136222,nested
requests,requests,internal,,49951.24303359243,flat
requests,requests.adapters,internal,,2968092.861122324,nested
requests,pathlib,stdlib,requests.adapters,237294.86096308267,nested
requests,_pytest,external,requests.adapters,220268.40862037474,nested
requests,urllib3,external,requests.adapters,307670.2411626145,nested
requests,threading,stdlib,requests.adapters,214533.8511431745,nested
requests,email,stdlib,requests.adapters,186454.25697819804,nested
requests,http,stdlib,requests.adapters,230984.98751363432,nested
requests,socket,stdlib,requests.adapters,86348.87027689401,nested
requests,urllib,stdlib,requests.adapters,265905.07097365696,nested
requests,pluggy,external,requests.adapters,225695.39894124126,nested
requests,queue,stdlib,requests.adapters,209822.94811158057,nested
requests,fnmatch,stdlib,requests.adapters,223811.48955798722,nested
requests,ssl,stdlib,requests.adapters,60155.24797228878,nested
requests,encodings,stdlib,requests.adapters,208117.39919806502,nested
requests,enum,stdlib,requests.adapters,231059.28602419267,nested
requests,requests.adapters,internal,,59970.543685339064,flat
requests,requests._internal_utils,internal,,486160.46284810145,nested
requests,re,stdlib,requests._internal_utils,229361.29012120859,nested
requests,enum,stdlib,requests._internal_utils,252669.09234354377,nested
requests,requests._internal_utils,internal,,4130.080383349117,flat
requests,requests.api,internal,,940122.2552979245,nested
requests,pathlib,stdlib,requests.api,209290.163851951,nested
requests,_pytest,external,requests.api,245433.95108446194,nested
requests,fnmatch,stdlib,requests.api,227620.88144455556,nested
requests,pluggy,external,requests.api,232155.98186537222,nested
requests,requests.api,internal,,25621.277051583715,flat
requests,requests.sessions,internal,,1065292.1029552473,nested
requests,_pytest,external,requests.sessions,236680.50241912677,nested
requests,pluggy,external,requests.sessions,233662.39075827072,nested
requests,fnmatch,stdlib,requests.sessions,244697.05145718894,nested
requests,pathlib,stdlib,requests.sessions,219720.65907696553,nested
requests,requests.sessions,internal,,130531.49924369519,flat
requests,requests.cookies,internal,,1559832.1015986349,nested
requests,http,stdlib,requests.cookies,296226.33509739273,nested
requests,urllib,stdlib,requests.cookies,222448.07795663745,nested
requests,threading,stdlib,requests.cookies,179943.84915875003,nested
requests,re,stdlib,requests.cookies,444495.0222427453,nested
requests,ipaddress,stdlib,requests.cookies,243391.7594551268,nested
requests,requests.cookies,internal,,173327.05768798274,flat
requests,requests.auth,internal,,227332.78095493492,nested
requests,requests.auth,internal,,227332.78095493492,flat
requests,requests.exceptions,internal,,992514.4413205385,nested
requests,pathlib,stdlib,requests.exceptions,238160.0776690427,nested
requests,fnmatch,stdlib,requests.exceptions,261976.0278413674,nested
requests,pluggy,external,requests.exceptions,191720.83454328118,nested
requests,_pytest,external,requests.exceptions,181515.6143655678,nested
requests,requests.exceptions,internal,,119141.88690127939,flat
requests,requests.structures,internal,,214186.02383867436,nested
requests,requests.structures,internal,,214186.02383867436,flat
requests,requests.hooks,internal,,194870.02945511183,nested
requests,requests.hooks,internal,,194870.02945511183,flat
flask,flask.templating,internal,,2022017.5847922128,nested
flask,re,stdlib,flask.templating,846171.7782949717,nested
flask,pathlib,stdlib,flask.templating,181606.32463077278,nested
flask,collections,stdlib,flask.templating,85321.48573304544,nested
